SiteCode,Exclude,Exclude_reason,CABLE_PFT,Description,TowerStatus,Country,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,TowerHeight,CanopyHeight,Tier
MX-Tes,NA,NA,NA,"MexFlux site located in tropical, dry forest ecosystem.","Active, core measurements presently being made","Sonora, Mexico",Tesopaco,27.84,-109.3,NA,WSA,Woody Savannas,NA,NA,NA
MY-Cer,NA,NA,2,No description available,"Active, core measurements presently being made",Malaysia,Cermat Ceria Betong,1.40044,111.39833,NA,EBF,Evergreen Broadleaf Forest,NA,NA,NA
MY-Lam,NA,NA,2,No description available,"Active, core measurements presently being made",Malaysia,Lambir Hills National Park,4.2,114.03333,NA,EBF,Evergreen Broadleaf Forest,NA,NA,NA
MY-Mud,NA,NA,2,No description available,"Active, core measurements presently being made",Malaysia,Maludam,1.48299,111.15337,NA,EBF,Evergreen Broadleaf Forest,NA,NA,NA
MY-PSO,NA,NA,2,No description available,"Active, core measurements presently being made",Malaysia,Pasoh Forest Reserve (PSO),2.973,102.3062,NA,EBF,Evergreen Broadleaf Forests,NA,NA,NA
MY-Sbu,NA,NA,NA,No description available,"Active, core measurements presently being made",Malaysia,Sibu Station,2.18667,111.84325,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
NE-WaD,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Niger,Wankama Degraded Fallow,13.64632,2.64302,NA,GRA,Grasslands,NA,NA,NA
NE-WaF,NA,NA,NA,"Wankama Fallow is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Niger.","Active, core measurements presently being made",Niger,Wankama Fallow,13.64758,2.63369,235,GRA,Grasslands,NA,NA,NA
NE-WaM,NA,NA,NA,"Wankama Millet is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Niger.","Active, core measurements presently being made",Niger,Wankama Millet,13.64402,2.62985,243,GRA,Grasslands,NA,NA,NA
NL-Ca1,NA,NA,NA,"Cabauw is currently Active, core measurements presently being made.  This site began collecting data in 2000 and is located in Netherlands.","Active, core measurements presently being made",Netherlands,Cabauw,51.971,4.927,1,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
NL-Dij,NA,NA,9,Maize crop site. This site is Inactive. It collected data 5/2007 - 3/2008,"Inactive, core measurements no longer being made",Netherlands,Dijkgraaf,51.99206,5.64594,NA,CRO,Croplands,NA,NA,NA
NL-Haa,NA,NA,9,Grass site. This site is Inactive. It collected data 7/2003 - 5/2004,"Inactive, core measurements no longer being made",Netherlands,Haastrecht,52.00361,4.80556,1,CRO,Croplands,NA,NA,NA
NL-Hor,FALSE,NA,6,"Horstermeer is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Netherlands.","Active, core measurements presently being made",Netherlands,Horstermeer,52.2404,5.0713,2.2,GRA,Grasslands,NA,NA,1
NL-Lan,NA,NA,9,Maize crop site. This site is Inactive. It collected data 1/2005 - 4/2006,"Inactive, core measurements no longer being made",Netherlands,Langerak,51.9536,4.9029,1,CRO,Croplands,NA,NA,NA
NL-Lel,NA,NA,9,"Lelystad is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Netherlands.","Active, core measurements presently being made",Netherlands,Lelystad,52.52424,5.55162,-4,CRO,Croplands,NA,NA,NA
NL-Loo,FALSE,NA,1,"Scots pine forest site. 16 km WSW of Apeldoorn, planted stand with extensive management, temperate marine climate (Cfb), evergreen coniferous forests, scots pine, evergreen.","Active, core measurements presently being made",Netherlands,Loobos,52.166581,5.74356,25,ENF,Evergreen Needleleaf Forests,24,NA,1
NL-Lut,NA,NA,9,Wheat crop site. This site is Inactive. It collected data 4/2005 - 10/2007,"Inactive, core measurements no longer being made",Netherlands,Lutjewad,53.39892,6.35603,1,CRO,Croplands,NA,NA,NA
NL-Mol,NA,NA,9,Potato crop site. This site is Inactive. It collected data 5/2005 - 3/2006,"Active, core measurements presently being made",Netherlands,Molenweg,51.65,4.63908,1,CRO,Croplands,NA,NA,NA
NL-Re1,NA,NA,15,No description available,"Inactive, core measurements no longer being made",Netherlands,Reeuwijk 1,51.9,4.5,NA,NA,Urban and Built-Up,NA,NA,NA
NL-Re2,NA,NA,15,No description available,"Inactive, core measurements no longer being made",Netherlands,Reeuwijk 2,51.9,4.5,NA,NA,Urban and Built-Up,NA,NA,NA
NL-Vre,NA,NA,NA,Sugar beets crop site. This site is Inactive. It collected data 4/2006 - 4/2007,"Inactive, core measurements no longer being made",Netherlands,Vredepeel,51.53167,5.84411,28,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
NL-Waa,NA,NA,6,Willow energy crop site. This site is Inactive. It collected data 3/2008 - 3/2009,"Inactive, core measurements no longer being made",Netherlands,Oostwaard,52.83159,4.90912,NA,CRO,Croplands,NA,NA,NA
NL-Zee,NA,NA,6,Maize crop site. This site is Inactive. It collected data 3/2008 - 10/2008,"Inactive, core measurements no longer being made",Netherlands,Zeewolde,52.3348,5.37259,NA,CRO,Croplands,NA,NA,NA
NO-Adv,FALSE,NA,11,No description available,"Active, core measurements presently being made",Norway,Adventdalen,78.186,15.923,17,WET,Permanent Wetlands,NA,NA,1
NO-And,NA,NA,5,No description available,"Inactive, core measurements no longer being made",Norway,AndÌüya,69.14278,16.02222,NA,OSH,Open Shrublands,NA,NA,NA
NO-Blv,FALSE,NA,8,No description available,"Active, core measurements presently being made",Norway,"Bayelva, Spitsbergen",78.9216,11.8311,25,SNO,Snow and Ice,NA,NA,1
NZ-Kop,NA,NA,2,"The Kopuatai EC tower (37å¡23'16.3""S, 175å¡33'14.0""E , 5m above sea level) is within one of NZ‰Ûªs largest intact wetlands, and its largest raised bog.  Kopuatai bog lies in the lower Hauraki plains of the North Island.  Peat forming vegetation is primarily the vascular plant Empodisma minus, a member of the Southern Hemisphere Restionaceae family of plants.","Active, core measurements presently being made",New Zealand,Kopuatai,-37.38792,175.55389,NA,EBF,Evergreen Broadleaf Forest,NA,NA,NA
NZ-Pur,NA,NA,2,Pasture,"Inactive, core measurements no longer being made",New Zealand,Purerua,-35.15,174.0333,34,EBF,Evergreen Broadleaf Forest,NA,NA,NA
ON-JMW,NA,NA,NA,"The ON-JMW flux tower site was established in May 2006 as part of the Ontario Flux Station for the Fluxnet-Canada Research Network.  The forest, a balsam fir, black spruce, white birch mix, was harvested between 1987 and 1988 at an age of approximately 45 years. The area was planted to black spruce (Picea mariana (Mill.) B.S.P.) and white spruce    (Picea glauca (Moench.) Voss.) between 1989 and 1991. White birch (Betula papyrifera Marsh.) and trembling aspen (Populus tremuloides Michx.) occur naturally within the plantation.","Active, core measurements presently being made","Ontario, Canada",Ontario Juvenile Mixedwood,48.133,-81.628,NA,NA,NA,NA,NA,NA
PA-Bar,NA,NA,2,No Description Available,"Active, core measurements presently being made",Panama,Barro Colorado Island,9.154,-79.848,NA,EBF,Evergreen Broadleaf Forests,NA,NA,NA
PA-SPn,NA,NA,2,Forest clearing in 1952/1953 followed by 2 years agricultural use; grazed pasture until 2001; native tree species plantation since 2001,"Inactive, core measurements no longer being made",Panama,Sardinilla Plantation,9.3181,-79.6346,78,DBF,Deciduous Broadleaf Forests,NA,NA,NA
PA-SPs,NA,NA,NA,Forest clearing in 1952/1953 followed by 2 years agricultural use; grazed pasture since 1955,"Inactive, core measurements no longer being made",Panama,Sardinilla-Pasture,9.3138,-79.6314,68,GRA,Grasslands,NA,NA,NA
PH-RIf,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Philippines,Philippines Rice Institute flooded,14.14119,121.26526,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
PH-RIn,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Philippines,Philippines Rice Institute not-flooded,14.14503,121.26094,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
PL-Bdg,NA,NA,9,No description available,"Active, core measurements presently being made",Poland,Bydgoszcz,53,17.96,NA,CRO,Croplands,NA,NA,NA
PL-Brd,NA,NA,9,No description available,"Active, core measurements presently being made",Poland,Brody,52.43418,16.29952,NA,CRO,Croplands,NA,NA,NA
PL-Bre,NA,NA,NA,"Brenna is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Poland.","Active, core measurements presently being made",Poland,Brenna,49.66667,18.93333,706,MF,Mixed Forests,NA,NA,NA
PL-Kpt,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Poland,Kopytkowo,53.59188,22.89235,NA,NA,NA,NA,NA,NA
PL-Pol,NA,NA,NA,"Polana is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Slovakia.","Active, core measurements presently being made",Slovakia,Polana,48.63333,19.53333,800,MF,Mixed Forests,NA,NA,NA
PL-Tcz,NA,NA,1,No description available,"Active, core measurements presently being made",Poland,Tuczno,53.19295,16.09748,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
PL-wet,NA,NA,NA,"Polwet is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Poland.","Active, core measurements presently being made",Poland,Polwet,52.7622,16.3094,55,MF,Mixed Forests,NA,NA,NA
PL-Wlw,NA,NA,9,No description available,"Active, core measurements presently being made",Poland,Wieclawice,52.84,18.31,NA,CRO,Croplands,NA,NA,NA
PT-Cor,NA,NA,NA,No description available,"Active, core measurements presently being made",Portugal,Coruche,39.13841,-8.33269,NA,WSA,Woody Savannas,NA,NA,NA
PT-Esp,NA,NA,NA,Hardwood forest,"Active, core measurements presently being made",Portugal,Espirra,38.6394,-8.6018,90,WSA,Woody Savannas,NA,NA,NA
PT-Mi1,NA,NA,NA,"The study area is in the southern part of Portugal, ca 12 km south of Evora (in the Alentejo region), in a place called ""Herdade da Alfarrobeira"".  Nearby stands the University of Evora.  The site ia a Quercus suber/Q. rotundifolia woodland with a discontinuous tree cover.  This type of vegetation (which in Portugal is called ""montado"" and in Spain ""dehesa"", covers a large portion of the Mediterranean region both in southern Europe and North-Africa.  It represents more than 1,000,000 ha only in Portugal.  The experimental site has a fairly homogeneous canopy over a large area (k km-scale) on flattish terrain.  Hardwood forest, mediterranean/oceanic","Active, core measurements presently being made",Portugal,Mitra (Evora),38.54064,-8.00006,230,SAV,Savannas,NA,NA,NA
PT-Mi2,NA,NA,NA,"Mitra IV Tojal is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Portugal.","Active, core measurements presently being made",Portugal,Mitra IV Tojal,38.4765,-8.02455,193,SAV,Savannas,NA,NA,NA
PT-Mi3,NA,NA,NA,"The site belongs to the plain ‰ÛÏAlentejana‰Û with low altitude (220-250 m) and gentle slopes, the rock is granitic and the soils are Distric Cambisols","Active, core measurements presently being made",Portugal,Mitra II (Evora),38.54064,-8.00006,230,SAV,Savannas,NA,NA,NA
RU-Ch2,NA,NA,5,No description available,"Active, core measurements presently being made",Russia,Chersky reference,68.61689,161.35089,NA,OSH,Open Shrublands,NA,NA,NA
RU-Che,FALSE,NA,11,"South of the Arctic Ocean on the mouth of the Kolyma River in Northeast Siberia.. Provides a year-round base for international research in arctic biology, geophysics, and atmospheric physics.  The station also contains the Administration of the Pleistocene Park, a local experimental wildlife preserve of 160 km2.","Active, core measurements presently being made",Russia,Cherski,68.61304,161.34143,4,WET,Permanent Wetlands,NA,NA,1
RU-Cok,FALSE,NA,5,"Chokurdakh / Kytalyk is currently Inactive, core measurements no longer being made.  This site began collecting data in 2003 and is located in Russia.","Inactive, core measurements no longer being made",Russia,Chokurdakh,70.829139,147.49428,48,OSH,Open Shrublands,NA,NA,1
RU-Cuk,NA,NA,5,"Chukotka is currently Active, core measurements presently being made.  This site began collecting data in 2001 and is located in Russia.","Active, core measurements presently being made",Russia,Chukotka,65.59483,171.0525,183,OSH,Open Shrublands,NA,NA,NA
RU-Fyo,FALSE,NA,1,"Fedorovskoje-drained spruce stand is currently Active, core measurements presently being made.  This site began collecting data in 1998 and is located in Russia.","Active, core measurements presently being made",Russia,Fyodorovskoye,56.461528,32.92208,265,ENF,Evergreen Needleleaf Forests,NA,NA,1
RU-Ha1,FALSE,NA,-9999,"Ubs Nur- Hakasija - grassland is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Russia.","Active, core measurements presently being made",Russia,Hakasia steppe,54.72517,90.00215,446,GRA,Grasslands,NA,NA,1
RU-Ha2,NA,NA,NA,"Ubs Nur- Hakasija - recovering grassland is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Russia.","Active, core measurements presently being made",Russia,Ubs Nur- Hakasija - recovering grassland,54.77301,89.95664,407,WSA,Woody Savannas,NA,NA,NA
RU-Ha3,NA,NA,NA,"Ubs Nur- Hakasija - Site 3 is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Russia.","Active, core measurements presently being made",Russia,Ubs Nur- Hakasija - Site 3,54.70455,89.07785,437,MF,Mixed Forests,NA,NA,NA
RU-KsC,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Russia,Kaskara Crop,57.25146,65.96931,NA,NA,NA,NA,NA,NA
RU-KsG,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Russia,Kaskara Grass,57.2528,65.99321,NA,NA,NA,NA,NA,NA
RU-Ndm,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Russia,Nadym,65.185,72.525,NA,WSA,Woody Savannas,NA,NA,NA
RU-Sam,NA,NA,6,"Samoylov Island- Lena Delta is currently Active, intermittent measurement collection.  This site began collecting data in 2002 and is located in Russia.","Active, intermittent measurement collection",Russia,Samoylov,72.3733,126.4978,16,GRA,Grasslands,NA,NA,NA
RU-SkP,NA,NA,3,No description available,"Active, core measurements presently being made",Russia,Yakutsk Spasskaya Pad larch,62.255,129.168,246,DNF,Deciduous Needleleaf Forests,NA,NA,NA
RU-Tks,NA,NA,6,No description available,"Active, core measurements presently being made",Russia,Tiksi,71.5943,128.8878,7,GRA,Grasslands,NA,NA,NA
RU-Tur,NA,NA,NA,No description available,"Active, core measurements presently being made",Russia,Tura,64.20889,100.46355,NA,WSA,Woody Savannas,NA,NA,NA
RU-Tuv,NA,NA,6,,"Inactive, core measurements no longer being made",Russia,Tuva,50.15,94.45,948,GRA,Grasslands,NA,NA,NA
RU-UPo,NA,NA,6,No description available,"Inactive, core measurements no longer being made",Russia,Ust Pojeg,61.93413,50.2269,NA,GRA,Grasslands,NA,NA,NA
RU-Uts,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Russia,Uteshevo,57.15491,65.343,NA,NA,NA,NA,NA,NA
RU-Vrk,NA,NA,5,No description available,"Active, core measurements presently being made",Russia,Seida/Vorkuta,67.0547,62.9405,100,CSH,Closed Shrublands,NA,NA,NA
RU-Ylr,NA,NA,3,"Yakutsk-Larch is currently Active, core measurements presently being made.  This site began collecting data in 1996 and is located in Russia.","Active, core measurements presently being made",Russia,Yakutsk-Larch,62.255,129.6189,214,DNF,Deciduous Needleleaf Forest,NA,NA,NA
RU-Ypn,NA,NA,3,"Yakutsk-Pine is currently Active, core measurements presently being made.  This site began collecting data in 1998 and is located in Russia.","Active, core measurements presently being made",Russia,Yakutsk-Pine,62.2414,129.6506,208,DNF,Deciduous Needleleaf Forest,NA,NA,NA
RU-Zbo,NA,NA,1,"Zotino bog is currently Active, core measurements presently being made.  This site began collecting data in 1998 and is located in Russia.","Active, core measurements presently being made",Russia,Zotino bog,60.75,89.3833,88,ENF,Evergreen Needleleaf Forest,NA,NA,NA
RU-Zfw,NA,NA,1,"Zotino forest West is currently Active, core measurements presently being made.  This site began collecting data in 1998 and is located in Russia.","Active, core measurements presently being made",Russia,Zotino forest West,60.75,89.3833,88,ENF,Evergreen Needleleaf Forest,NA,NA,NA
RU-Zot,NA,NA,NA,"Coniferous forest, west side of Yenisei River, central Siberia","Active, core measurements presently being made",Russia,Zotino,60.8008,89.3508,124,WSA,Woody Savannas,NA,NA,NA
SD-Dem,FALSE,NA,NA,"A climate station was mounted on february 8, 2002 in the Demokey experimental forest outside El Obeid, Kordofan the Sudan. The station is the result of a cooperation between the Department of Physical Geography and Ecosystem Analysis, Lunds University Sweden and the Agricultural Research Cooperation (ARC) in the Sudan.","Inactive, core measurements no longer being made",Sudan,Demokeya,13.2829,30.4783,500,SAV,Savannas,NA,NA,1
SE-Abi,NA,NA,NA,"Abisko is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Sweden.","Active, core measurements presently being made",Sweden,Abisko,68.3624,18.7948,353,WSA,Woody Savannas,NA,NA,NA
SE-As2,NA,NA,1,"Wind-felled forest area, south-west of the original site","Active, core measurements presently being made",Sweden,Asa Nybygget,57.1495,14.73866,260,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-Asa,NA,NA,1,"Asa is currently Inactive, core measurements no longer being made.  This site began collecting data in 2005 and is located in Sweden.","Inactive, core measurements no longer being made",Sweden,Asa,57.17226,14.8001,205,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-Deg,NA,NA,1,"The study was conducted in the center of DegerÌ¦ Stormyr, (64å¡11‰Ûª 23.565‰Û N, 19å¡33‰Ûª 55.291 E), a mixed acid mire system covering 6.5 km2 situated in the KulbÌ_cksliden Experimental Forest near Vindeln in the county of VÌ_sterbotten, Sweden. The mire, which consists of a rather complex system of interconnected smaller mires, divided by islets and ridges of glacial till, is situated on highland (270 m.a.s.l.) between two major rivers, UmeÌ_lven and VindelÌ_lven, approximately 70 km from the Gulf of Bothnia. The depth of the peat is generally between 3-4 m, but depths of as much as 8 m have been measured. The deepest peat layers correspond to an age of ~8000 years. The part of the mire used for the measurements is a poor fen dominated by lawn and carpet plant communities.","Active, core measurements presently being made",Sweden,Degero Stormyr (NECC),64.18197,19.55669,242,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-Faj,NA,NA,1,"Fajemyr (NECC) is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Sweden.","Active, core measurements presently being made",Sweden,Fajemyr (NECC),56.26547,13.55351,150,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-Fla,NA,NA,1,"Evergeen coniferous forests, mediterranean/montane.  Due to the harsh conditions and the remote location of the tower, gaps in the data series are more frequent than in those from the Norunda site.  However, coverage of 70% or more is still available.","Active, core measurements presently being made",Sweden,Flakaliden,64.11278,19.45694,307,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-Htm,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Sweden,Hyltemossa,56.09763,13.41897,NA,MF,Mixed Forests,NA,NA,NA
SE-Kno,NA,NA,1,"Knottasen is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Sweden.","Active, core measurements presently being made",Sweden,Knottasen,60.99825,16.21728,285,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-Lnn,NA,NA,9,No description available,"Inactive, core measurements no longer being made",Sweden,Lanna,58.34063,13.10177,NA,CRO,Croplands,NA,NA,NA
SE-Nor,NA,NA,1,"The site has been managed by forestry practices for over 200 years.  It is regenerated by leaving seed trees after harvest, 30 km N of the city of Uppsala.  The site is at the border of the southern edge of the boreal forest zone in the NOPEX study area.  The climate is more maritime than other boreal forests.","Active, core measurements presently being made",Sweden,Norunda,60.0865,17.4795,28,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-Sk1,NA,NA,1,"Skyttorp1 young is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Sweden.","Active, core measurements presently being made",Sweden,Skyttorp1 young,60.125,17.91806,42,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-Sk2,NA,NA,1,"Skyttorp is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Sweden.","Active, core measurements presently being made",Sweden,Skyttorp,60.12967,17.84006,58,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SE-St1,NA,NA,11,"Stordalen  Forest- Mountain Birch is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Sweden.","Active, core measurements presently being made",Sweden,Stordalen grassland,68.3541,19.0503,351,WET,Permanent Wetlands,NA,NA,NA
SE-St2,NA,NA,NA,"Stordalen Grassland (Mire) is currently Active, core measurements presently being made.  This site began collecting data in 2003 and is located in Sweden.","Active, core measurements presently being made",Sweden,Stordalen Grassland (Mire),68.35424,19.04714,347,WSA,Woody Savannas,NA,NA,NA
SE-Sto,NA,NA,11,No description available,"Inactive, core measurements no longer being made",Sweden,Stordalen Palsa Bog (ICOS),68.356,19.04521,NA,WET,Permanent Wetlands,NA,NA,NA
SE-Svb,NA,NA,1,No description available,"Inactive, core measurements no longer being made",Sweden,Svartberget,64.2561,19.77451,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
SK-Pol,NA,NA,NA,"Polana 2 is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Slovakia.","Active, core measurements presently being made",Slovakia,Polana 2,48.63333,19.46667,1222,MF,Mixed Forests,NA,NA,NA
SK-Ta1,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Slovakia,Tatra Jamy,49.15833,20.26111,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
SK-Ta2,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Slovakia,Tatra Vysne Hagy,49.12639,20.10778,NA,MF,Mixed Forests,NA,NA,NA
SK-Tat,NA,NA,9,"Tatra is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Slovakia.","Active, core measurements presently being made",Slovakia,Tatra,49.12078,20.1635,980,CRO,Croplands,NA,NA,NA
SN-Dhr,FALSE,NA,NA,No description available,"Active, core measurements presently being made",Senegal,Dahra,15.40278,-15.43222,40,SAV,Savannas,NA,NA,1
TH-Bue,NA,NA,NA,No description available,"Active, core measurements presently being made",Thailand,Rubber Flux Bueng Kan,18.23913,103.32012,NA,WSA,Woody Savannas,NA,NA,NA
TH-Cgs,NA,NA,NA,No description available,"Active, core measurements presently being made",Thailand,Rubber Flux Chachoengsao,13.66556,101.44139,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
TH-Kog,NA,NA,2,No description available,"Active, core measurements presently being made",Thailand,Kog-Ma Watershed,18.8,98.9,NA,EBF,Evergreen Broadleaf Forest,NA,NA,NA
TH-Mae,NA,NA,2,Tropical forest,"Active, core measurements presently being made",Thailand,Maeklong- Kanchanabri,14.575,98.85833,214,EBF,Evergreen Broadleaf Forest,NA,NA,NA
TH-Mix,NA,NA,NA,"Mixed Vegetation Site is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Thailand.","Active, core measurements presently being made",Thailand,Mixed Vegetation Site,16.93986,99.42986,105,WSA,Woody Savannas,NA,NA,NA
TH-Moh,NA,NA,NA,No description available,"Active, core measurements presently being made",Thailand,Mae Moh plantation,18.42294,99.71804,NA,WSA,Woody Savannas,NA,NA,NA
TH-Rtc,NA,NA,NA,No description available,"Active, core measurements presently being made",Thailand,Dry Dipterocarp Forest Flux Ratchaburi,13.58333,99.5,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
TH-Sak,NA,NA,2,Tropical green,"Active, core measurements presently being made",Thailand,Sakaerat- Nakonrachasima,14.49333,101.92194,470,EBF,Evergreen Broadleaf Forest,NA,NA,NA
TW-Chn,NA,NA,2,"Chilan Forest District, Ilan County, Taiwan","Active, core measurements presently being made",Taiwan,Chilan (TWCL),24.59094,121.49897,457,EBF,Evergreen Broadleaf Forest,NA,NA,NA
TW-Hui,NA,NA,2,"N. E. Eye Mountain, Hui-Sun Forest station, Nantou County, Taiwan","Active, core measurements presently being made",Taiwan,Huisun Forest Station (TWHS),24.076,121.126,1292,EBF,Evergreen Broadleaf Forest,NA,NA,NA
TW-LHC,NA,NA,2,No description available,"Active, core measurements presently being made",Taiwan,The Lien-Hua-Chih Hydrometeorological Study Site,23.93097,120.89415,NA,EBF,Evergreen Broadleaf Forest,NA,NA,NA
TW-Nch,NA,NA,15,"Dept of Environmental Engineering, National Chung Hsing University, 250 Kuokang Rd, Taichung City, Taiwan","Active, core measurements presently being made",Taiwan,NCHU (TWNCHU),24.12056,120.67806,54,NA,Urban and Built-Up,NA,NA,NA
TW-Tar,NA,NA,NA,"Wu-Fong, Taichung County, Tawian","Active, core measurements presently being made",Taiwan,TARI (TWTARI),24.03122,120.68839,83,CRO,Croplands,NA,NA,NA
UA-Pet,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Ukraine,Petrodolinskoe,46.45614,30.33609,NA,CRO,Croplands,NA,NA,NA
UG-Jin,NA,NA,NA,"Jinja is currently Active, core measurements presently being made.  This site began collecting data in 2003 and is located in Uganda.","Active, core measurements presently being made",Uganda,Jinja,0.4,33.18333,1156,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
UK-AMo,NA,NA,6,"Auchencorth Moss- Scotland is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in United Kingdom.","Active, core measurements presently being made",United Kingdom,Auchencorth Moss- Scotland,55.79167,-3.23889,265,GRA,Grasslands,NA,NA,NA
UK-Cas,NA,NA,NA,"Cairngorms- Scotland is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in United Kingdom.","Active, core measurements presently being made",United Kingdom,Cairngorms- Scotland,57.23333,-3.5,461,MF,Mixed Forests,NA,NA,NA
UK-EBu,NA,NA,NA,"Easter Bush- Scotland is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in United Kingdom.","Active, core measurements presently being made",United Kingdom,Easter Bush- Scotland,55.866,-3.20578,208,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
UK-ESa,NA,NA,9,"East Saltoun is currently Active, core measurements presently being made.  This site began collecting data in 2003 and is located in United Kingdom.","Active, core measurements presently being made",United Kingdom,East Saltoun,55.90694,-2.85861,307,CRO,Croplands,NA,NA,NA
UK-Gri,NA,NA,1,"90 mi NNE of Edinburgh, intensively managed plantation, coniferous forest, mediterranean/montane climate","Active, core measurements presently being made",United Kingdom,Griffin- Aberfeldy-Scotland,56.60722,-3.79806,343,ENF,Evergreen Needleleaf Forest,NA,NA,NA
UK-Ham,NA,NA,NA,"Hampshire is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in United Kingdom.","Active, core measurements presently being made",United Kingdom,Hampshire,51.15353,-0.8583,76,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
UK-Har,NA,NA,1,"Coniferous forest, temperate/oceanic","Active, core measurements presently being made",United Kingdom,Harwood,55.21272,-2.03753,282,ENF,Evergreen Needleleaf Forest,NA,NA,NA
UK-Her,NA,NA,9,"Hertfordshire is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in United Kingdom.","Active, core measurements presently being made",United Kingdom,Hertfordshire,51.7838,-0.47608,142,CRO,Croplands,NA,NA,NA
UK-LBT,NA,NA,15,No description available,"Active, core measurements presently being made",United Kingdom,London_BT,51.5215,-0.1389,NA,NA,Urban and Built-Up,NA,NA,NA
UK-MoH,NA,NA,NA,"This site lies in the North Pennine uplands of England and has an area of 74 km2. It is England's highest and largest terrestrial National Nature Reserve (NNR), a UNESCO Biosphere Reserve and a European Special Protection Area. Habitats include exposed summits, extensive blanket peatlands, upland grasslands, pastures, hay meadows and deciduous woodland. Altitude ranges from 290 to 850 m and a large part of the catchment of the River Tees, from its source near Great Dun Fell to High Force waterfall, is included in the reserve.","Active, core measurements presently being made",United Kingdom,Moor House,54.69633,-2.39638,600,MF,Mixed Forests,NA,NA,NA
UK-PL1,NA,NA,9,"Pang/ Lambourne (crop) is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in United Kingdom.","Active, core measurements presently being made",United Kingdom,Pang/ Lambourne (crop),51.5333,-1.48333,159,CRO,Croplands,NA,NA,NA
