,SiteCode,Exclude,Exclude_reason,CABLE_PFT,CABLE_patchfrac,Source_CABLE_PFT,Description,TowerStatus,Country,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,Tier,MeasurementHeight,TowerHeight,CanopyHeight,VegetationDescription,SoilType,Disturbance,CropDescription,Irrigation,Reference
729,US-KUO,NA,NA,NA,,,"The KUOM tower is located on a 1.5 ha turf-grass field in a first-ring suburb of Minneapolis-Saint Paul, Minnesota. The site is representative of low-maintenance lawns in the area, such as those found in residential neighborhoods or a city park. It is not irrigated and receives one application of fertilizer per year. A two-lane county road carrying primarily commuting traffic (~10,000 vehicles per day) is located on the western edge of the turf-grass field, at a distance of 60 m from the tower. The surrounding landscape is a residential neighborhood consisting of single-family detached houses with a golf course located across the road, to the west of the study site.","Active, core measurements presently being made","Minnesota, United States",KUOM tower,44.9983,-93.1886,304,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA,NA,,,,,,
730,US-KUT,NA,NA,15,,,"The KUOM tower is located on a 1.5 ha turf-grass field in a first-ring suburb of Minneapolis-Saint Paul, Minnesota. The site is representative of low-maintenance lawns in the area, such as those found in residential neighborhoods or a city park. It is not irrigated and receives one application of fertilizer per year. A two-lane county road carrying primarily commuting traffic (~10,000 vehicles per day) is located on the western edge of the turf-grass field, at a distance of 60 m from the tower. The surrounding landscape is a residential neighborhood consisting of single-family detached houses with a golf course located across the road, to the west of the study site.","Active, core measurements presently being made","Minnesota, United States",KUOM Turfgrass Field,44.995,-93.4863,293,NA,Urban and Built-Up,NA,NA,NA,NA,,,,,,
731,US-Ldg,NA,NA,1,1,IGBP,"Lodgepole Forest is currently Active, core measurements presently being made.  This site began collecting data in 2006 and is located in United States.","Active, core measurements presently being made",United States,Lodgepole Forest,46.95225,-110.88527,2258,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
732,US-LGr,NA,NA,NA,,,No Description Available,"Active, core measurements presently being made",United States,Lockney Grassland,34.1377,-101.4787,1005,GRA,Grasslands,NA,NA,NA,NA,,,,,,
733,US-Lin,NA,NA,NA,,,NA,NA,United States,Lindcove Orange Orchard,36.3566,-119.8423,131,CRO,Croplands,NA,9.8,NA,NA,,,,,,"Fares, S., Vargas, R., Detto, M., Goldstein, A. H., Karlik, J., Paoletti, E., Vitale, M. (2013) Tropospheric Ozone Reduces Carbon Assimilation In Trees: Estimates From Analysis Of Continuous Flux Measurements, Global Change Biology, 19(8), 2427-2443 #-------# Fares, S., Weber, R., Park, J., Gentner, D., Karlik, J., Goldstein, A. H. (2012) Ozone Deposition To An Orange Orchard: Partitioning Between Stomatal And Non-Stomatal Sinks, Environmental Pollution, 169(), 258-266 #-------# Fares, S., Weber, R., Park, J., Gentner, D., Karlik, J., Goldstein, A. H. (2012) Ozone Deposition To An Orange Orchard: Partitioning Between Stomatal And Non-Stomatal Sinks, Environmental Pollution, 169(8), 258-266"
734,US-Los,FALSE,NA,11,1,IGBP,"The Lost Creek flux tower is part of the Chequamegon Ecosystem-Atmosphere Study (ChEAS), a multi-organization research effort studying  biosphere/atmosphere interactions within a northern mixed forest in Northern Wisconsin.  This site is part of the cluster of towers that includes Park Falls to the southwest and  Willow Creek.","Active, core measurements presently being made","Wisconsin, United States",Lost Creek,46.08269882,-89.97920227,480,WET,Permanent Wetlands,1,10.2,10.2,2,,,,,,"Baker, I., Denning, A. S., Hanan, N., Prihodko, L., Uliasz, M., Vidale, P., Davis, K., Bakwin, P. (2003) Simulated And Observed Fluxes Of Sensible And Latent Heat And CO2 At The WLEF-TV Tower Using SiB2.5, Global Change Biology, 9(9), 1262-1277 #-------# Bakwin, P. S., Davis, K. J., Yi, C., Wofsy, S. C., Munger, J. W., Haszpra, L., Barcza, Z. (2004) Regional Carbon Dioxide Fluxes From Mixing Ratio Data, Tellus Series B-Chemical and Physical Meteorology, 56(4), 301-311 #-------# Barr, A., Richardson, A., Hollinger, D., Papale, D., Arain, M., Black, T., Bohrer, G., Dragoni, D., Fischer, M., Gu, L., Law, B., Margolis, H., McCaughey, J., Munger, J., Oechel, W., Schaeffer, K. (2013) Use Of Change-Point Detection For Friction–Velocity Threshold Evaluation In Eddy-Covariance Studies, Agricultural And Forest Meteorology, 171-172(1-2), 31-45 #-------# Bechtold, M., De Lannoy, G. J., Koster, R. D., Reichle, R. H., Mahanama, S. P., Bleuten, W., Bourgault, M. A., Brümmer, C., Burdun, I., Desai, A. R., Devito, K., Grünwald, T., Grygoruk, M., Humphreys, E. R., Klatt, J., Kurbatova, J., Lohila, A., Munir, T. M., Nilsson, M. B., Price, J. S., Röhl, M., Schneider, A., Tiemeyer, B. (2019) Peat‐Clsm: A Specific Treatment Of Peatland Hydrology In The Nasa Catchment Land Surface Model, Journal Of Advances In Modeling Earth Systems, 11(7), 2130-2162 #-------# Cook, B. D., Davis, K. J., Wang, W., Desai, A., Berger, B. W., Teclaw, R. M., Martin, J. G., Bolstad, P. V., Bakwin, P. S., Yi, C., Heilman, W. (2004) Carbon Exchange And Venting Anomalies In An Upland Deciduous Forest In Northern Wisconsin, USA, Agricultural And Forest Meteorology, 126(3-4), 271-295 #-------# Davis, K. J., Bakwin, P. S., Yi, C., Berger, B. W., Zhao, C., Teclaw, R. M., Isebrands, J. G. (2003) The Annual Cycles Of CO2 And H2O Exchange Over A Northern Mixed Forest As Observed From A Very Tall Tower, Global Change Biology, 9(9), 1278-1293 #-------# Desai, A. R., Noormets, A., Bolstad, P. V., Chen, J., Cook, B. D., Davis, K. J., Euskirchen, E. S., Gough, C., Martin, J. G., Ricciuto, D. M., Schmid, H. P., Tang, J., Wang, W. (2008) Influence Of Vegetation And Seasonal Forcing On Carbon Dioxide Fluxes Across The Upper Midwest, Usa: Implications For Regional Scaling, Agricultural And Forest Meteorology, 148(2), 288-308 #-------# Desai, A.R. (2010) Climatic And Phenological Controls On Coherent Regional Interannual Variability Of Carbon Dioxide Flux In A Heterogeneous Landscape, Journal Of Geophysical Research, 115(G00J02), n/a-n/a #-------# Grant, R.F., Desai, A.R.,  Sulman, B.N. (2012) Modelling Contrasting Responses Of Wetland Productivity To Changes In Water Table Depth, Biogeosciences, 9(11), 4215-4231 #-------# Kaakinen, S., Kostiainen, K., Ek, F., Saranpaa, P., Kubiske, M. E., Sober, J., Karnosky, D. F., Vapaavuori, E. (2004) Stem Wood Properties Of Populus Tremuloides, Betula Papyrifera And Acer Saccharum Saplings After 3 Years Of Treatments To Elevated Carbon Dioxide And Ozone, Global Change Biology, 10(9), 1513-1525 #-------# Knox, S. H., Jackson, R. B., Poulter, B., McNicol, G., Fluet-Chouinard, E., Zhang, Z., Hugelius, G., Bousquet, P., Canadell, J. G., Saunois, M., Papale, D., Chu, H., Keenan, T. F., Baldocchi, D., Torn, M. S., Mammarella, I., Trotta, C., Aurela, M., Bohrer, G., Campbell, D. I., Cescatti, A., Chamberlain, S., Chen, J., Chen, W., Dengel, S., Desai, A. R., Euskirchen, E., Friborg, T., Gasbarra, D., Goded, I., Goeckede, M., Heimann, M., Helbig, M., Hirano, T., Hollinger, D. Y., Iwata, H., Kang, M., Klatt, J., Krauss, K. W., Kutzbach, L., Lohila, A., Mitra, B., Morin, T. H., Nilsson, M. B., Niu, S., Noormets, A., Oechel, W. C., Peichl, M., Peltola, O., Reba, M. L., Richardson, A. D., Runkle, B. R., Ryu, Y., Sachs, T., Schäfer, K. V., Schmid, H. P., Shurpali, N., Sonnentag, O., Tang, A. C., Ueyama, M., Vargas, R., Vesala, T., Ward, E. J., Windham-Myers, L., Wohlfahrt, G., Zona, D. (2019) Fluxnet-Ch4 Synthesis Activity: Objectives, Observations, And Future Directions, Bulletin Of The American Meteorological Society, 7(8), 1619-1633 #-------# Pugh, C. A., Reed, D. E., Desai, A. R., Sulman, B. N. (2018) Wetland Flux Controls: How Does Interacting Water Table Levels And Temperature Influence Carbon Dioxide And Methane Fluxes In Northern Wisconsin?, Biogeochemistry, 137(1-2), 15-25 #-------# Qiu, C., Zhu, D., Ciais, P., Guenet, B., Krinner, G., Peng, S., Aurela, M., Bernhofer, C., Brümmer, C., Bret-Harte, S., Chu, H., Chen, J., Desai, A. R., Dušek, J., Euskirchen, E. S., Fortuniak, K., Flanagan, L. B., Friborg, T., Grygoruk, M., Gogo, S., Grünwald, T., Hansen, B. U., Holl, D., Humphreys, E., Hurkuck, M., Kiely, G., Klatt, J., Kutzbach, L., Largeron, C., Laggoun-Défarge, F., Lund, M., Lafleur, P. M., Li, X., Mammarella, I., Merbold, L., Nilsson, M. B., Olejnik, J., Ottosson-Löfvenius, M., Oechel, W., Parmentier, F. W., Peichl, M., Pirk, N., Peltola, O., Pawlak, W., Rasse, D., Rinne, J., Shaver, G., Schmid, H. P., Sottocornola, M., Steinbrecher, R., Sachs, T., Urbaniak, M., Zona, D., Ziemblinska, K. (2018) Orchidee-Peat (Revision 4596), A Model For Northern Peatland Co&amp;Lt;Sub&amp;Gt;2&amp;Lt;/Sub&amp;Gt;, Water, And Energy Fluxes On Daily To Annual Scales, Geoscientific Model Development, 11(2), 497-519 #-------# Reed, D. E., Frank, J. M., Ewers, B. E., Desai, A. R. (2018) Time Dependency Of Eddy Covariance Site Energy Balance, Agricultural And Forest Meteorology, 249(1-2), 467-478 #-------# Scott Denning, A., Nicholls, M., Prihodko, L., Baker, I., Vidale, P., Davis, K., Bakwin, P. (2003) Simulated Variations In Atmospheric CO2 Over A Wisconsin Forest Using A Coupled Ecosystem-Atmosphere Model, Global Change Biology, 9(9), 1241-1250 #-------# Sullivan, R. C., Cook, D. R., Ghate, V. P., Kotamarthi, V. R., Feng, Y. (2019) Improved Spatiotemporal Representativeness And Bias Reduction Of Satellite-Based Evapotranspiration Retrievals Via Use Of In Situ Meteorology And Constrained Canopy Surface Resistance, Journal Of Geophysical Research: Biogeosciences, 124(2), 342-352 #-------# Sullivan, R. C., Kotamarthi, V. R., Feng, Y. (2019) Recovering Evapotranspiration Trends From Biased CMIP5 Simulations And Sensitivity To Changing Climate Over North America, Journal Of Hydrometeorology, 20(8), 1619-1633 #-------# Sulman, B. N., Desai, A. R., Mladenoff, D. J. (2013) Modeling Soil And Biomass Carbon Responses To Declining Water Table In A Wetland-Rich Landscape, Ecosystems, 16(3), 491-507 #-------# Sulman, B. N., Desai, A. R., Saliendra, N. Z., Lafleur, P. M., Flanagan, L. B., Sonnentag, O., Mackay, D. S., Barr, A. G., van der Kamp, G. (2010) CO2 Fluxes At Northern Fens And Bogs Have Opposite Responses To Inter-Annual Fluctuations In Water Table, Geophysical Research Letters, 37(19), n/a-n/a #-------# Sulman, B. N., Desai, A. R., Schroeder, N. M., Ricciuto, D., Barr, A., Richardson, A. D., Flanagan, L. B., Lafleur, P. M., Tian, H., Chen, G., Grant, R. F., Poulter, B., Verbeeck, H., Ciais, P., Ringeval, B., Baker, I. T., Schaefer, K., Luo, Y., Weng, E. (2012) Impact of Hydrological Variations on Modeling of Peatland CO2 Fluxes: Results From the North American Carbon Program Site Synthesis, Journal Of Geophysical Research: Biogeosciences, 117(G01031), n/a-n/a #-------# Sulman, B.N.,  Desai, A.R., Cook, B.D., Saliendra, N., Mackay, D.S. (2009) Contrasting Carbon Dioxide Fluxes Between A Drying Shrub Wetland In Northern Wisconsin, USA, And Nearby Forests, Biogeosciences, 6(6), 1115-1126 #-------# Turner, J., Desai, A. R., Thom, J., Wickland, K. P., Olson, B. (2019) Wind Sheltering Impacts On Land-Atmosphere Fluxes Over Fens, Frontiers In Environmental Science, 7(8), 1619-1633 #-------# Werner, C., Davis, K., Bakwin, P., Yi, C., Hurst, D., Lock, L. (2003) Regional-Scale Measurements Of CH4 Exchange From A Tall Tower Over A Mixed Temperate/Boreal Lowland And Wetland Forest, Global Change Biology, 9(9), 1251-1261 #-------# Yi, C., Davis, K. J., Bakwin, P. S., Denning, A. S., Zhang, N., Desai, A., Lin, J. C., Gerbig, C. (2004) Observed Covariance Between Ecosystem Carbon Exchange And Atmospheric Boundary Layer Dynamics At A Site In Northern Wisconsin, Journal Of Geophysical Research: Atmospheres, 109(D8), n/a-n/a #-------# Yi, C., Li, R., Bakwin, P. S., Desai, A., Ricciuto, D. M., Burns, S. P., Turnipseed, A. A., Wofsy, S. C., Munger, J. W., Wilson, K., Monson, R. K. (2004) A Nonparametric Method For Separating Photosynthesis And Respiration Components In CO2 Flux Measurements, Geophysical Research Letters, 31(17), n/a-n/a"
735,US-LPH,NA,NA,4,1,IGBP,"The site was cleared for pasture, but not deeply plowed or planted, in the 18th and 19th centuries. Agriculture on the site was abandoned near the end of the 19th century. The forest within 200 to 300 m of the eddy covariance tower to the NW, W, SW, and S burned in an intense fire in 1957, which left few or no surviving trees.","Active, core measurements presently being made","Massachusetts, United States",Little Prospect Hill,42.54186,-72.18496,351,DBF,Deciduous Broadleaf Forest,NA,NA,NA,NA,,,,,,
736,US-LSM,NA,NA,5,,,"The climate at Tombstone can be classified as semiarid or steppe, hot, with a dry winter, but is quite close to being an arid or desert climate.  Mean annual temperature at Tombstone is 17.6 degrees C and mean annual precipitation is approximately 330 mm.  The San Pedro Riparian National Conservation Area (NCA) is one of the most remarkable and unique natural biological areas in the United Sates. Healthy grasslands and shrub land flank its narrow, green riparian forests, flanking the San Pedro with their multiple-aged stands of willow and cottonwood. That makes it a diverse biological area and one of the most productive migration pathways in North America.","Active, core measurements presently being made","Arizona, United States",Lewis Springs Mesquite,31.56584,-110.13438,1238,OSH,Open Shrublands,NA,NA,NA,NA,,,,,,
737,US-LWW,NA,NA,NA,,,"Grasslands, rangeland, Temperate, continental. Severe drought in 1998.","Inactive, core measurements no longer being made","Oklahoma, United States",Little Washita Watershed,34.9604,-97.9789,365,GRA,Grasslands,NA,3,NA,NA,,,,,,"Meyers, T. P. (2001) A Comparison Of Summertime Water And CO2 Fluxes Over Rangeland For Well Watered And Drought Conditions, Agricultural And Forest Meteorology, 106(3), 205-214 #-------# Twine, T., Kustas, W., Norman, J., Cook, D., Houser, P., Meyers, T., Prueger, J., Starks, P., Wesely, M. (2000) Correcting Eddy-Covariance Flux Underestimates Over A Grassland, Agricultural And Forest Meteorology, 103(3), 279-300"
738,US-Man,NA,NA,NA,,,"Cedar forest, 80-yr-old stand.","Active, core measurements presently being made","Kansas, United States",Manhattan (cedar forest 30 km N),39.46,-96.757,354,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
739,US-Me1,TRUE,NA,1,1,IGBP,"The logging history of the stand surrounding the Metolius Eyerly Burn site includes only periodical thinning in the early 20th century. After logging activity ended, the stand was allowed to regrow naturally into an intermediate-aged ponderosa pine forest. In early July 2002, the Eyerly Fire was sparked by lightening activity common to mid-summer thunderstorms. After containment, the Eyerly fire was estimated to have scorched a total of nearly 23,134 acres. Within the confines of the Deschutes National Forest, 17,786 acres were burned. The Metolius Eyerly Burn tower was placed within the severely burned region, occupying approximately 12,821 acres of the total fire-effected region. This region is distinguished from other wildfire effected regions by a 100% stand replacement. (Irvine et al. 2007, USDAFS Eyerly Fire BAER Report, 2002)","Inactive, core measurements no longer being made","Oregon, United States",Metolius - Eyerly burn,44.5794,-121.5,896,ENF,Evergreen Needleleaf Forests,1,10,10,NA,,,,,,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 10(9), 1470-1481 #-------# Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 6(11), 1023-1027 #-------# Bond-Lamberty, B., Wang, C., Gower, S. T. (2004) A Global Relationship Between The Heterotrophic And Autotrophic Components Of Soil Respiration?, Global Change Biology, 10(10), 1756-1766 #-------# Irvine, J., Law, B. E., Hibbard, K. A. (2007) Postfire Carbon Pools And Fluxes In Semiarid Ponderosa Pine In Central Oregon, Global Change Biology, 13(8), 1748-1760 #-------# Novick, K. A., Ficklin, D. L., Stoy, P. C., Williams, C. A., Bohrer, G., Oishi, A., Papuga, S. A., Blanken, P. D., Noormets, A., Sulman, B. N., Scott, R. L., Wang, L., Phillips, R. P. (2016) The Increasing Importance Of Atmospheric Demand For Ecosystem Water And Carbon Fluxes, Nature Climate Change, 6(11), 1023-1027 #-------# Sun, O. J., Campbell, J., Law, B. E., Wolf, V. (2004) Dynamics Of Carbon Stocks In Soils And Detritus Across Chronosequences Of Different Forest Types In The Pacific Northwest, USA, Global Change Biology, 10(9), 1470-1481"
740,US-Me2,FALSE,NA,1,1,IGBP,NA,NA,United States,Metolius-intermediate aged ponderosa pine,44.4523,-121.5574,1253,ENF,Evergreen Needleleaf Forests,1,29,32,16,,,,,,"Campbell, J. L., Sun, O. J., Law, B. E. (2004) Disturbance And Net Ecosystem Production Across Three Climatically Distinct Forest Landscapes, Global Biogeochemical Cycles, 18(4), n/a-n/a #-------# Campbell, J. L., Sun, O. J., Law, B. E. (2004) Supply-Side Controls On Soil Respiration Among Oregon Forests, Global Change Biology, 10(11), 1857-1869 #-------# Campbell, J., Law, B. (2005) Forest Soil Respiration Across Three Climatically Distinct Chronosequences In Oregon, Biogeochemistry, 73(1), 109-125 #-------# Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(22), 9275–9287 #-------# Coops, N. C., Waring, R. H., Law, B. E. (2005) Assessing The Past And Future Distribution And Productivity Of Ponderosa Pine In The Pacific Northwest Using A Process Model, 3-Pg, Ecological Modelling, 183(1), 107-124 #-------# Hibbard, K. A., Law, B. E., Reichstein, M., Sulzman, J. (2005) An Analysis Of Soil Respiration Across Northern Hemisphere Temperate Ecosystems, Biogeochemistry, 73(1), 29-70 #-------# Irvine, J., Law, B. E., Kurpius, M. R. (2005) Coupling Of Canopy Gas Exchange With Root And Rhizosphere Respiration In A Semi-Arid Forest, Biogeochemistry, 73(1), 271-282 #-------# Irvine, J., Law, B. E., Kurpius, M. R., Anthoni, P. M., Moore, D., Schwarz, P. A. (2004) Age-Related Changes In Ecosystem Structure And Function And Effects On Water And Carbon Exchange In Ponderosa Pine, Tree Physiology, 24(7), 753-763 #-------# Irvine, J., Law, B. E., Martin, J. G., Vickers, D. (2008) Interannual Variation In Soil CO2 Efflux And The Response Of Root Respiration To Climate And Canopy Gas Exchange In Mature Ponderosa Pine, Global Change Biology, 14(12), 2848-2859 #-------# Kelliher, F., Ross, D., Law, B., Baldocchi, D., Rodda, N. (2004) Limitations To Carbon Mineralization In Litter And Mineral Soil Of Young And Old Ponderosa Pine Forests, Forest Ecology And Management, 191(1-3), 201-213 #-------# Kwon, H., Law, B. E., Thomas, C. K., Johnson, B. G. (2018) The Influence Of Hydrological Variability On Inherent Water Use Efficiency In Forests Of Contrasting Composition, Age, And Precipitation Regimes In The Pacific Northwest, Agricultural And Forest Meteorology, 249(21), 488-500 #-------# Kwon, H., Law, B. E., Thomas, C. K., Johnson, B. G. (2018) The Influence Of Hydrological Variability On Inherent Water Use Efficiency In Forests Of Contrasting Composition, Age, And Precipitation Regimes In The Pacific Northwest, Agricultural And Forest Meteorology, 249(6), 488-500 #-------# Law, B. E., Turner, D., Campbell, J., Lefsky, M., Guzy, M., Sun, O., Tuyl, S. V., Cohen, W. (2006) Carbon Fluxes Across Regions: Observational Constraints At Multiple Scales, Scaling And Uncertainty Analysis In Ecology, 54(6), 167-190 #-------# Law, B. E., Turner, D., Campbell, J., Sun, O. J., Van Tuyl, S., Ritts, W. D., Cohen, W. B. (2004) Disturbance And Climate Effects On Carbon Stocks And Fluxes Across Western Oregon USA, Global Change Biology, 10(9), 1429-1444 #-------# Matheny, A. M., Bohrer, G., Stoy, P. C., Baker, I. T., Black, A. T., Desai, A. R., Dietze, M. C., Gough, C. M., Ivanov, V. Y., Jassal, R. S., Novick, K. A., Schäfer, K. V., Verbeeck, H. (2014) Characterizing The Diurnal Patterns of Errors in The Prediction of Evapotranspiration by Several Land-Surface Models: An Nacp Analysis, Journal Of Geophysical Research: Biogeosciences, 119(7), 1458-1473 #-------# McDowell, N. G., Bowling, D. R., Bond, B. J., Irvine, J., Law, B. E., Anthoni, P., Ehleringer, J. R. (2004) Response Of The Carbon Isotopic Content Of Ecosystem, Leaf, And Soil Respiration To Meteorological And Physiological Driving Factors In A Pinus Ponderosa Ecosystem, Global Biogeochemical Cycles, 18(1), n/a-n/a #-------# Novick, K. A., Ficklin, D. L., Stoy, P. C., Williams, C. A., Bohrer, G., Oishi, A., Papuga, S. A., Blanken, P. D., Noormets, A., Sulman, B. N., Scott, R. L., Wang, L., Phillips, R. P. (2016) The Increasing Importance Of Atmospheric Demand For Ecosystem Water And Carbon Fluxes, Nature Climate Change, 6(11), 1023-1027 #-------# Ruehr, N. K., Martin, J. G., Law, B. E. (2012) Effects Of Water Availability On Carbon And Water Exchange In A Young Ponderosa Pine Forest: Above- And Belowground Responses, Agricultural And Forest Meteorology, 164(2), 136-148 #-------# Schmidt, A., Law, B. E., Göckede, M., Hanson, C., Yang, Z., Conley, S. (2016) Bayesian Optimization Of The Community Land Model Simulated Biosphere–Atmosphere Exchange Using Co2observations From A Dense Tower Network And Aircraft Campaigns Over Oregon, Earth Interactions, 20(22), 1-35 #-------# Schwarz, P. A., Law, B. E., Williams, M., Irvine, J., Kurpius, M., Moore, D. (2004) Climatic Versus Biotic Constraints On Carbon And Water Fluxes In Seasonally Drought-Affected Ponderosa Pine Ecosystems, Global Biogeochemical Cycles, 18(GB4007), n/a-n/a #-------# Sullivan, R. C., Cook, D. R., Ghate, V. P., Kotamarthi, V. R., Feng, Y. (2019) Improved Spatiotemporal Representativeness And Bias Reduction Of Satellite-Based Evapotranspiration Retrievals Via Use Of In Situ Meteorology And Constrained Canopy Surface Resistance, Journal Of Geophysical Research: Biogeosciences, 124(2), 342-352 #-------# Sullivan, R. C., Kotamarthi, V. R., Feng, Y. (2019) Recovering Evapotranspiration Trends From Biased CMIP5 Simulations And Sensitivity To Changing Climate Over North America, Journal Of Hydrometeorology, 20(8), 1619-1633 #-------# Sun, O. J., Campbell, J., Law, B. E., Wolf, V. (2004) Dynamics Of Carbon Stocks In Soils And Detritus Across Chronosequences Of Different Forest Types In The Pacific Northwest, USA, Global Change Biology, 10(9), 1470-1481 #-------# Thomas, C. K., Law, B. E., Irvine, J., Martin, J. G., Pettijohn, J. C., Davis, K. J. (2009) Seasonal Hydrology Explains Interannual And Seasonal Variation In Carbon And Water Exchange In A Semiarid Mature Ponderosa Pine Forest In Central Oregon, Journal Of Geophysical Research: Biogeosciences, 114(G4), n/a-n/a #-------# Treuhaft, R. N., Law, B. E., Asner, G. P. (2004) Forest Attributes From Radar Interferometric Structure And Its Fusion With Optical Remote Sensing, Bioscience, 54(6), 561-571 #-------# Turner, D. P., Guzy, M., Lefsky, M. A., Ritts, W. D., Van Tuyl, S., Law, B. E. (2004) Monitoring Forest Carbon Sequestration With Remote Sensing And Carbon Cycle Modeling, Environmental Management, 33(4), 457-466 #-------# Turner, D. P., Ritts, W. D., Styles, J. M., Yang, Z., Cohen, W. B., Law, B. E., Thornton, P. E. (2006) A Diagnostic Carbon Flux Model To Monitor The Effects Of Disturbance And Interannual Variation In Climate On Regional NEP, Tellus Series B-Chemical and Physical Meteorology, 58(5), 476-490 #-------# Van Tuyl, S., Law, B., Turner, D., Gitelman, A. (2005) Variability In Net Primary Production And Carbon Storage In Biomass Across Oregon Forests—An Assessment Integrating Data From Forest Inventories, Intensive Sites, And Remote Sensing, Forest Ecology And Management, 209(3), 273-291 #-------# Vickers, D., Göckede, M., Law, B. (2010) Uncertainty Estimates For 1-H Averaged Turbulence Fluxes Of Carbon Dioxide, Latent Heat And Sensible Heat, Tellus Series B-Chemical and Physical Meteorology, 62(2), 87-99 #-------# Vickers, D., Irvine, J., Martin, J. G., Law, B. E. (2012) Nocturnal Subcanopy Flow Regimes And Missing Carbon Dioxide, Agricultural And Forest Meteorology, 152(GB4007), 101-108 #-------# Vickers, D., Thomas, C. K., Martin, J. G., Law, B. (2009) Self-Correlation Between Assimilation And Respiration Resulting From Flux Partitioning Of Eddy-Covariance CO2 Fluxes, Agricultural And Forest Meteorology, 149(9), 1552-1555 #-------# Vickers, D., Thomas, C., Law, B. E. (2009) Random And Systematic CO2 Flux Sampling Errors For Tower Measurements Over Forests In The Convective Boundary Layer, Agricultural And Forest Meteorology, 149(1), 73-83 #-------# Vickers, D., Thomas, C., Pettijohn, C., Martin, J.G., Law, B.E. (2012) Five Years Of Carbon Fluxes And Inherent Water-Use Efficiency At Two Semi-Arid Pine Forests With Different Disturbance Histories, Tellus Series B-Chemical and Physical Meteorology, 64(0), 17159-n/a #-------# Wolf, S., Keenan, T.F., Fisher, J.B., Baldocchi, D.D., Desai, A.R., Richardson, A.D., Scott, R.L., Law, B.E., Litvak, M.E., Brunsell, N.A., Peters, W., van der Laan-Luijkx, I.T. (2016) Warm spring reduced carbon cycle impact of the 2012 US summer drought, Proceedings of the National Academy of Sciences, 113(21), 5880-5885 #-------# Zhang, Q., Ficklin, D. L., Manzoni, S., Wang, L., Way, D., Phillips, R. P., Novick, K. A. (2019) Response Of Ecosystem Intrinsic Water Use Efficiency And Gross Primary Productivity To Rising Vapor Pressure Deficit, Environmental Research Letters, 14(7), 074023"
